Invoice,Status,Method,Amount
INV0,Unpaid,Paypal,511.91928716806154
INV1,Paid,Credit Card,589.499968076782
INV2,Paid,Paypal,571.6957616619438
INV3,Paid,Credit Card,550.6124504764352
INV4,Unpaid,Credit Card,615.4795857186685
INV5,Unpaid,Paypal,243.01016371021177
INV6,Unpaid,Credit Card,922.5256279920311
INV7,Unpaid,Credit Card,394.31359564123414
INV8,Paid,Credit Card,130.6937788605136
INV9,Paid,Credit Card,367.04511131032314
INV10,Unpaid,Credit Card,583.3153359643973
INV11,Unpaid,Paypal,124.25015087651236
INV12,Unpaid,Credit Card,92.18990175674958
INV13,Paid,Paypal,328.57250846734485
INV14,Unpaid,Paypal,471.48798800026117
INV15,Unpaid,Credit Card,443.6022611374467
INV16,Paid,Paypal,243.06174385513168
INV17,Paid,Paypal,859.5685482788558
INV18,Unpaid,Paypal,357.9180536131795
INV19,Unpaid,Credit Card,717.3571648830808
INV20,Paid,Paypal,925.1340632319067
INV21,Unpaid,Paypal,492.47771811841966
INV22,Unpaid,Credit Card,715.867518872143
INV23,Unpaid,Paypal,336.35370724396876
INV24,Unpaid,Paypal,701.7425900468405
